"","Site","Site_ID","Start_date","Logger_SN","h_0","d1_0","d2_0","d3_0","d4_0","d5_0","S","V_0","W_0","B","L","x1","x2","x3","x4","x5","x6","A1_0","A2_0","A3_0","A4_0","A5_0","A6_0","A_0","m_beta1","m_beta2","m_beta3","m_beta4","m_beta5","m_beta6","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P_0","R_0","n","J_0","m_alpha"
"1","Shady Cr Gage","SHADY","08/07/2025",21773574,19,0,27,1,2,0,0.0024,16,560,700,71,0,140,140,140,140,0,0,1890,1960,210,140,0,4200,0,1.38027823760125,1.38717400062562,1.56365359112548,1.5565115842075,0,0,142.579802216162,142.39382009062,140.003571383019,140.014284985497,0,0,0,0,70,0.778306083723129
"2","DC 116 Gage","DC116","06/13/25",21821536,32,14,91,96,92,37,0.0315,0.8,569.4,660,52,14,132,132,132,132,27.4,98,6930,12342,12408,8514,506.9,40798.9,0.785398163397448,1.04272187836854,1.53293563953026,1.54050256687612,1.17600520709514,0.637419515657189,19.7989898732233,152.816883883948,132.09466302618,132.060592153753,143,46.0408514256633,625.811980362768,65.1935425978101,3.5936436574319,45.3,0.716647490469329
"3","DC 20 Gage","DC20","06/23/2025",21773580,58,41,39,51,64,64,0.0071,12.4,990.4,1030,12,79.7,206,206,206,206,86.7,1633.85,8240,9270,11845,13184,2774.4,46947.25,1.09567217577479,1.56108789396079,1.51260965598129,1.50777310466341,1.5707963267949,0.934904573730192,89.6275069384394,206.009708509089,206.349218559218,206.409786589687,206,107.763119850903,1022.15934044734,45.9294829507248,0.0871502278306458,19.8,1.02593241134335
"4","DC 10 Gage","DC10","06/25/2025",21773578,23,22,12,14,1,5,0.0114,14,695.9,811,28,35.6,162,162,162,162,12.3,391.6,2754,2106,1215,486,30.75,6983.35,1.01726282424684,1.50914615615564,1.55845127495067,1.49072100252036,1.5461099847393,1.18469560245043,41.8492532788818,162.308348522188,162.012345208629,162.520767903674,162.049375191637,13.2774244490413,704.017514554052,9.91928447181245,0.0352082646698244,57.55,1.11797988052818
"5","BR 55 Gage","BR55","06/30/2025",21773581,63,6,51,78,61,19,0.0022,10.4,670.8,787,31,12.8,157,157,157,157,30,38.4,4474.5,10126.5,10911.5,6280,285,32115.9,1.13245976693694,1.2916556250949,1.40048773645414,1.46293630112281,1.30940122811887,1.0062269331268,14.1364776376578,163.321768298044,159.304739414746,157.917700084569,162.520767903674,35.5105618091294,692.712015147821,46.3625565858659,0.058204458349229,58.1,1.0806603493595
"6","EF NF Am. Gage","EFAR","07/08/2025",22309887,55.5,1,27,28,68,52,0.0301,43.6,677.5,800,63,1.3,160,160,160,160,36.2,0.65,2240,4400,7680,9600,941.2,24861.85,0.91510070055336,1.40970442225732,1.5645464081732,1.32581766366803,1.47112767430373,0.608139986186714,1.64012194668567,162.098735343617,160.003124969483,164.924225024706,160.798009937934,63.3596085846496,712.823825807076,34.8779727892103,0.0424780183512798,61.25,0.771314587574588
"7","Monumental Cr Gage","MON","07/10/2025",22309889,11,0,4.5,10,14,14.5,0.0308,2.4,437.2,520,21,0,104,104,104,104,21.2,0,234,754,1248,1482,153.7,3871.7,0,1.52755406899683,1.51796093109897,1.53235373677371,1.56598867152821,0.970915232282111,0,104.097310243829,104.145331148352,104.076894650062,104.001201916132,25.684431081883,0,0,0,41.4,1.10136843535043
"8","Grassy Swale Gage","GSW","08/13/2025",2023065,34,17,19,36,26,11,0.0317,60.8,314.9,360,23,15.3,72,72,72,72,11.6,130.05,1296,1980,2232,1332,63.8,7033.85,0.732815101786507,1.54302569020148,1.33893166594551,1.43279030313738,1.36540093760513,0.811940601148845,22.8711608800253,72.0277724214764,73.9797269527267,72.691127381545,73.5459040327876,15.986244086714,331.101935755275,21.2437598226513,0.0224619250439844,22.55,0.77551923121502
"9","Feather NF Gage","NFFR","08/14/2025",9773630,20,38,3,0,0,0,0.0063,19.2,2855,3450,100,95,690,690,690,690,0,1805,14145,1035,0,0,0,16985,1.19028994968253,1.52011512671744,1.56644852810414,1.5707963267949,1.5707963267949,0,102.318131335556,690.887110894392,690.00652170831,690,690,0,0,0,0,297.5,1.24652688603788
"10","Martin Cr Gage","MAR","08/15/2025",2026005,35,0,48,12,0,0,0.0187,29.6,632,790,63,0,158,158,158,158,0,0,3792,4740,948,0,0,9480,0,1.27585926794609,1.34677267975697,1.49499248943376,1.5707963267949,0,0,165.130251619744,162.049375191637,158.455040942218,158,0,0,0,0,79,0.897600978394703
"11","Cat Crk Gage","CAT","08/28/2025",9773640,48,39,64,58,47,37,0.0413,26,426.2,460,22,29.4,92,92,92,92,28.8,573.3,4738,5612,4830,3864,532.8,20150.1,0.645958106306111,1.30546424058591,1.50567116346051,1.45179603341212,1.46252573593444,0.661417280318456,48.8401474199249,95.3362470417207,92.1954445729289,92.655275079188,92.5418824100742,46.8875249933285,468.456521517165,43.0138104060137,0.0959563284221126,16.9,0.655036285677741
"12","Butte Crk Gage","BUT","09/11/2025",9773627,34,21,47,38,35,19,0.007,50.8,1184.4,1410,80,29.3,282,282,282,282,27.1,307.65,9588,11985,10293,7614,257.45,40045.1,0.948934459107128,1.47885766791268,1.53889226230987,1.56015843021936,1.51411950316286,0.959327788284752,36.04843963336,283.196045170126,282.143580469236,282.015956995344,282.453536001941,33.096978714076,1198.95453698408,33.4000154006937,0.0170811229637001,112.8,0.953909302921288
"13","Willow Butte Gage","WBUT","09/03/2025",9763525,38,0,57,48,0,0,0.031,13,388,487,77,0,97,97,97,97,0,0,2764.5,5092.5,2328,0,0,10185,0,1.03952291295308,1.47827770567525,1.11128092567954,1.5707963267949,0,0,112.507777508935,97.4166310236604,108.226614102078,97,0,0,0,0,49.5,0.571337479833627
"14","McCloud Gage","MCL","09/10/2025",9773634,32,8,45.5,35,13,15.5,0.009,31.6,926.5,1130,105,8,226,226,226,226,14.5,32,6045.5,9096.5,5424,3220.5,112.375,23930.875,0.785398163397448,1.40636526676695,1.52436953541715,1.4737569408129,1.55973483106365,0.752077167519201,11.3137084989848,229.090047797804,226.24378444501,227.06827167176,226.01382701065,21.2249852767911,940.954624700999,25.4325494256478,0.0259633525296378,101.75,0.769679990017992
